scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.social.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11425,4527,3237,3611,16005,670,14592,16675,0.9117150890346767,true,
study.social.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4767,3037,0,1700,16828,281,13824,17109,0.8214879961968148,true,
study.social.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5711,3668,0,2001,18149,306,14080,18455,0.7758003195768362,true,
study.social.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12818,5654,4241,2878,16032,687,14592,16719,0.9101796407185628,true,
study.social.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5906,3925,0,1944,17431,364,14080,17795,0.8077562962538007,true,
study.social.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6609,3390,0,3188,26756,337,21760,27093,0.8132755269846016,true,
study.social.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,13004,10902,0,2071,16295,1231,14080,17526,0.8640687327401043,true,
study.social.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,9019,3090,0,5903,22454,404,16256,22858,0.7239690032956266,true,
study.social.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9573,4851,2689,1908,15722,585,14080,16307,0.8955603612771912,true,
study.social.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10704,5008,3388,2269,15908,598,14592,16506,0.9172743273824491,true,
study.social.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10833,5203,3126,2463,17146,638,15104,17784,0.8809051673859792,true,
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11948,5155,3561,3061,16272,842,14592,17114,0.8967551622418879,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12951,4344,4946,3605,16205,770,14592,16975,0.9004628201172478,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16530,9108,8776,4285,17275,1395,14592,18670,0.8446888567293778,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13583,4911,2734,5895,16215,767,14592,16982,0.8999074930619797,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12199,5584,3032,3521,18005,885,4608,18890,0.25592890863648987,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12325,4780,2651,4840,16218,815,14592,17033,0.8997410284868664,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6314,3088,0,3182,17843,326,14080,18169,0.7891049711371406,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10853,4576,3326,2905,16027,643,14592,16670,0.9104635926873401,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5522,3038,0,2444,16823,263,13824,17086,0.8217321524103905,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9803,4184,3030,2447,18485,634,15104,19119,0.817094941844739,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13178,6221,3326,3579,16210,789,14592,16999,0.9001850709438618,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,6690,3422,0,3218,24401,394,20224,24795,0.8288184910454489,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,8024,4838,0,3148,28702,385,22784,29087,0.7938122778900425,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,18809,10561,13561,4985,17835,1623,14592,19458,0.8181665264928512,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7889,3022,0,4827,24591,359,16256,24950,0.6610548574681794,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_categories,11014,5115,2610,3243,20041,574,18176,20615,0.9069407714185919,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews,13061,5424,2777,4810,30216,699,27904,30915,0.9234842467566852,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9428,4366,2907,2113,17374,572,15616,17946,0.8988143202486474,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11377,4621,3493,3206,16077,774,14592,16851,0.9076320208994215,true,
study.birthday.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9952,4361,2797,2751,16176,706,14592,16882,0.9020771513353115,true,
study.birthday.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,12743,6116,5478,3802,16923,1016,14592,17939,0.8622584648112037,true,
study.birthday.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10809,4478,2960,3323,16071,712,14592,16783,0.907970879223446,true,
study.birthday.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11153,4134,3062,3891,17554,664,15104,18218,0.8604306710721203,true,
study.birthday.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10699,4492,3148,3018,16030,740,14592,16770,0.9102932002495321,true,
study.birthday.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4957,2881,0,1991,17335,278,14080,17613,0.8122295933083358,true,
study.birthday.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9055,4488,2509,1942,15807,524,14592,16331,0.9231353197950275,true,
study.birthday.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,8290,6400,0,1860,16194,257,13824,16451,0.8536494998147462,true,
study.birthday.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4942,3009,0,1893,17450,300,14080,17750,0.8068767908309455,true,
study.birthday.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11256,4702,3716,2790,16040,695,14592,16735,0.9097256857855361,true,
study.birthday.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6218,3606,0,2575,17417,364,14080,17781,0.8084055807544354,true,
study.birthday.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6603,3310,0,3231,26722,357,21760,27079,0.8143103061148118,true,
study.birthday.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,11552,9145,0,2372,16796,1076,14592,17872,0.8687782805429864,true,
study.birthday.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7869,3081,0,4765,22813,407,16256,23220,0.7125761627142418,true,
study.birthday.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_categories,14662,8959,2584,3082,20137,640,18176,20777,0.9026170730496101,true,
study.birthday.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13250,6955,3303,2949,16031,787,14080,16818,0.8782982970494666,true,
study.birthday.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,list_categories,8895,6031,0,2819,24239,731,20224,24970,0.8343578530467428,true,
study.baby_shower.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,11306,4962,3364,2946,20691,682,18688,21373,0.903194625682664,true,
study.baby_shower.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14201,4721,5599,3825,16278,847,14592,17125,0.8964246221894582,true,
study.baby_shower.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15154,8355,9010,3484,17095,1161,14592,18256,0.8535829189821585,true,
study.baby_shower.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,11875,5699,2437,3704,20595,653,18688,21248,0.907404709881039,true,
study.baby_shower.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,8145,6199,0,1918,17436,693,14080,18129,0.8075246616196375,true,
study.baby_shower.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9253,4401,2836,1985,15849,569,14592,16418,0.920689002460723,true,
study.baby_shower.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4719,2834,0,1731,16778,295,14080,17073,0.8391941828585052,true,
study.baby_shower.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10010,4724,2890,2356,15881,563,14592,16444,0.9188338265852276,true,
study.baby_shower.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5679,3871,0,1781,16332,300,13824,16632,0.8464364437913299,true,
study.baby_shower.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6347,4423,0,1882,17955,512,14080,18467,0.784182678919521,true,
study.baby_shower.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,10378,4130,2523,3691,20545,573,18688,21118,0.9096130445363836,true,
study.baby_shower.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5083,3312,0,1743,17083,304,14080,17387,0.824211204121056,true,
study.baby_shower.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6965,3441,0,3494,25710,344,21248,26054,0.8264488525865422,true,
study.baby_shower.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12775,10192,0,2549,16984,1305,14592,18289,0.8591615638247763,true,
study.baby_shower.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7709,3281,0,4407,23011,434,16256,23445,0.7064447438181739,true,
study.baby_shower.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_locations,13202,4628,2901,5639,20641,537,18176,21178,0.8805774914006105,true,
study.baby_shower.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10156,4878,3147,2092,15909,589,14592,16498,0.9172166698095418,true,
study.baby_shower.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10955,6152,2781,1983,17147,607,15104,17754,0.8808537936665306,true,
study.corporate.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews,12732,4567,2569,5440,30121,661,27904,30782,0.9263968659739052,true,
study.corporate.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11718,4475,3969,3220,16244,788,14592,17032,0.898300911105639,true,
study.corporate.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,14470,7724,7922,3952,17234,1192,14592,18426,0.8466983869095973,true,
study.corporate.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,10408,4841,2683,2844,20506,547,18688,21053,0.911343021554667,true,
study.corporate.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_related_providers,12263,5220,3289,3697,23119,706,21248,23825,0.9190708940698127,true,
study.corporate.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,15931,9650,3185,2956,20556,607,18688,21163,0.9091262891613154,true,
study.corporate.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5085,3290,0,1756,17025,331,14080,17356,0.8270190895741557,true,
study.corporate.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10689,4649,2866,3133,16012,664,14592,16676,0.9113165126155384,true,
study.corporate.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4654,2910,0,1715,16785,263,13824,17048,0.8235924932975871,true,
study.corporate.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,8380,6384,0,1945,18402,494,14080,18896,0.7651342245408108,true,
study.corporate.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9009,4397,2404,2032,15829,517,14592,16346,0.9218522964179671,true,
study.corporate.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5191,3331,0,1825,16726,288,14080,17014,0.8418031806767906,true,
study.corporate.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6900,3413,0,3458,24986,333,21248,25319,0.8503962218842552,true,
study.corporate.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12891,10771,0,2093,16179,1189,14080,17368,0.8702639223685024,true,
study.corporate.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7385,2579,0,4788,21480,406,16256,21886,0.7567970204841713,true,
study.corporate.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7344,5367,0,1946,15910,654,14080,16564,0.884978001257071,true,
study.corporate.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6509,4598,0,1884,15889,490,14080,16379,0.8861476493171376,true,
study.corporate.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7050,5217,0,1801,16822,543,14080,17365,0.8369991677565093,true,
study.social.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11465,5265,3003,3152,16063,783,14592,16846,0.9084230841063313,true,
study.social.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11463,4437,3510,3467,16204,803,14592,17007,0.900518390520859,true,
study.social.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16357,8763,9878,4732,17689,1462,14592,19151,0.8249194414607949,true,
study.social.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12909,5350,4329,3188,16048,746,14592,16794,0.909272183449651,true,
study.social.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11696,5129,3425,3091,17591,765,15104,18356,0.8586208856801774,true,
study.social.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10157,4756,3348,2012,15819,553,14592,16372,0.922435046463114,true,
study.social.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5713,3503,0,2174,16791,393,14080,17184,0.8385444583407778,true,
study.social.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9996,4350,3087,2446,16003,625,14592,16628,0.9118290320564895,true,
study.social.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4474,2715,0,1716,16748,262,13824,17010,0.8254119894912826,true,
study.social.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4799,2986,0,1778,18043,276,11008,18319,0.6100980989857563,true,
study.social.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10692,4484,2780,3383,16027,693,14592,16720,0.9104635926873401,true,
study.social.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5682,3704,0,1937,17321,354,14080,17675,0.8128860920270192,true,
study.social.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,10851,3517,0,7300,26519,356,21760,26875,0.8205437610769637,true,
study.social.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12718,10673,0,2020,16286,1174,14080,17460,0.8645462360309468,true,
study.social.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,8219,3340,0,4860,22440,391,16256,22831,0.7244206773618538,true,
study.social.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10388,5634,2683,2018,15728,602,14080,16330,0.8952187182095626,true,
